Filename,Sample,MD5,Result,ResultRevised,HumanResult,CvResult,NInterfaces,NDetected,NCorrect,NMissing,NMissingLabel,NMissingBg,NMissingWeakSignal,NIncorrect,NIncorrectLabel,NIncorrectBg,NIncorrectDuplicate
R12S3S10-r5.00s2.00s3.00,R12:S3:S10-r5.00:s2.00:s3.00,a38f59b4f563c81594abb14788106824,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S4S5-r5.00s3.50s1.50,R12:S4:S5-r5.00:s3.50:s1.50,605af11d26e9959dba7a493e9658457b,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S4S8-r5.00s0.50s4.50,R12:S4:S8-r5.00:s0.50:s4.50,dc8a0784cf62b5415c51875362b7bf74,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S5S10-r5.00s3.50s1.50,R12:S5:S10-r5.00:s3.50:s1.50,14dd68b619463a9f03a3ecb0c8502dfe,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S6S25-r5.00s1.50s3.50,R12:S6:S25-r5.00:s1.50:s3.50,d6efc71778f65706161f64b7ba0309a5,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R12S10S13-r5.00s4.50s0.50,R12:S10:S13-r5.00:s4.50:s0.50,e2df1f1104ce655c8428860f28dae02a,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S11-r5.00s5.00,R12:S11-r5.00:s5.00,83e16f56b02f366a55904bd9f33b5d5c,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S12S14-r5.00s3.00s2.00,R12:S12:S14-r5.00:s3.00:s2.00,fa3481a4c0d70517f4cc1f785f1ddff7,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S12S16-r5.00s4.50s0.50,R12:S12:S16-r5.00:s4.50:s0.50,ec8f3cbd7a804182028c19a47506e934,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S13-r5.00s5.00,R12:S13-r5.00:s5.00,dbedfba842823c195467e74305f21eb3,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R12S13S14-r5.00s1.50s3.50,R12:S13:S14-r5.00:s1.50:s3.50,a6133173c0ee52cde4925fd499a7f040,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S14-r5.00s5.00,R12:S14-r5.00:s5.00,df2bbf7431e34e7eb53963b000ba676e,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S15S22-r5.00s2.00s3.00,R12:S15:S22-r5.00:s2.00:s3.00,21d966edf6898327106c1bc000537f4e,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S17-r5.00s5.00,R12:S17-r5.00:s5.00,2b16ed406ecd09957da812c0ad745b27,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S17S22-r5.00s1.50s3.50,R12:S17:S22-r5.00:s1.50:s3.50,bf94be07a7a85cf0b50527a2b1de0acb,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S19-r5.00s5.00,R12:S19-r5.00:s5.00,463e983433e216d340c79709ca9ac7d1,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R12S22-r5.00s5.00,R12:S22-r5.00:s5.00,4160d568ca92a99722a893f1b0a54de4,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R12S25-r5.00s5.00,R12:S25-r5.00:s5.00,c1a3dae0351a77ac55a2fbeb243e57bf,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R9S4S8-r5.00s2.50s2.50,R9:S4:S8-r5.00:s2.50:s2.50,8da19418fe7ba180c2e5351763a2f9d2,N,True,False,True,2,1,1,1,0,0,1,0,0,0,0
R9S22-r5.00s5.00,R9:S22-r5.00:s5.00,35c68baf48f03a1876774d001896b8aa,Y,True,True,False,1,2,1,0,0,0,0,1,1,0,0
R10S4-r5.00s5.00,R10:S4-r5.00:s5.00,b6fcb56de900f3f6be658caaad9eb743,Y,True,True,False,1,2,1,0,0,0,0,1,1,0,0
R10S10S13-r5.00s3.50s1.50,R10:S10:S13-r5.00:s3.50:s1.50,de43cbd4b772a5cfd1c1fba5fefcf5df,Y,True,True,False,1,2,1,0,0,0,0,1,1,0,0
R10S11-r5.00s5.00,R10:S11-r5.00:s5.00,a0eab650e73b123bd887e91f0a62bd53,Y,True,True,False,1,3,1,0,0,0,0,2,2,0,0
R10S13-r5.00s5.00,R10:S13-r5.00:s5.00,f4b7144907c06634f54113337be5f0a1,Y,True,True,False,1,3,1,0,0,0,0,2,2,0,0
R10S15-r5.00s5.00,R10:S15-r5.00:s5.00,d8467a535969e1c910735af81d1fa435,Y,True,True,False,1,3,1,0,0,0,0,2,2,0,0
R10S17-r5.00s5.00,R10:S17-r5.00:s5.00,08b7f1cbfb0307200e6d9f89d8ac28fc,Y,True,True,False,1,3,1,0,0,0,0,2,2,0,0
R10S19-r5.00s5.00,R10:S19-r5.00:s5.00,f0c380d7a256f4a197e8ef098740e64a,Y,True,True,False,1,2,1,0,0,0,0,1,1,0,0
R11S2S16-r5.00s2.00s3.00,R11:S2:S16-r5.00:s2.00:s3.00,f380187fba16399663c9b1ea43835acf,Y,True,True,False,1,2,1,0,0,0,0,1,0,0,1
R11S8S12-r5.00s1.00s4.00,R11:S8:S12-r5.00:s1.00:s4.00,94809f9a0f91c7db07cbf5207f146868,Y,True,True,False,1,3,1,0,0,0,0,2,0,1,1
R11S10S3-r5.00s3.00s2.00,R11:S10:S3-r5.00:s3.00:s2.00,a55c865e122fe8b12062b2e85c01050f,Y,True,True,False,1,2,1,0,0,0,0,1,1,0,0
R11S12S16-r5.00s0.50s4.50,R11:S12:S16-r5.00:s0.50:s4.50,fd107a24c46fc8b4b34ccb4e7f1d0470,Y,True,True,False,1,3,1,0,0,0,0,2,0,1,1
R11S17S22-r5.00s1.50s3.50,R11:S17:S22-r5.00:s1.50:s3.50,3d12ef9b0463973842c57a2cae760381,Y,True,True,False,1,2,1,0,0,0,0,1,1,0,0
R11S22S5-r5.00s1.00s4.00,R11:S22:S5-r5.00:s1.00:s4.00,32ebe594d10028904b244ad5959af40e,Y,True,True,False,1,2,1,0,0,0,0,1,1,0,0
R11S23-r5.00s5.00,R11:S23-r5.00:s5.00,2a499e6b05617733b8d78137016b9931,N,True,False,True,2,1,1,1,0,0,1,0,0,0,0
R11S25-r5.00s5.00,R11:S25-r5.00:s5.00,d3579de54e233f3aecd4514053ea0cec,N,True,False,True,2,1,1,1,0,0,1,0,0,0,0
R12S11S23-r5.00s2.50s2.50,R12:S11:S23-r5.00:s2.50:s2.50,9aab4ce953229168cea006dd757cb793,N,True,False,True,2,1,1,1,0,0,1,0,0,0,0
R12S11S25-r5.00s1.00s4.00,R12:S11:S25-r5.00:s1.00:s4.00,e327d45215c47e6c845aab0231d05638,N,True,False,True,2,1,1,1,0,0,1,0,0,0,0
R12S17S23-r5.00s1.00s4.00,R12:S17:S23-r5.00:s1.00:s4.00,a40af491827683b859cf1085f94a21d7,N,True,False,True,2,1,1,1,0,0,1,0,0,0,0
R12S23-r5.00s5.00,R12:S23-r5.00:s5.00,dcd8cb4a5ae7307cd532cab345f0cb47,N,True,False,True,2,1,1,1,0,0,1,0,0,0,0
